minPay(USD per hour),maxPay(USD per hour),clientIdentityVerification,clientPaymentVerification,deposit,emailVerification,profileCompletion,phoneVerification,fraud
15,25,0,0,1,1,1,1,0
21.02,262,0,1,1,1,1,1,0
10,30,1,1,1,1,1,1,0
10,30,1,1,1,1,1,1,0
10,30,0,1,1,1,1,1,0
8.41,31.54,0,1,1,1,0,1,0
17.98,149.84,1,1,1,1,0,1,0
7.19,17.98,0,1,1,1,1,1,0
10,13,0,1,1,1,1,1,0
7.25,18.01,1,1,1,1,1,1,0
8,15,1,1,1,1,1,1,0
15,25,0,1,1,1,1,0,0
18.021,150.17,1,1,1,1,1,1,0
7.2,18,1,1,1,1,0,1,0
8.4,31,1,1,0,1,1,1,0
24,30,1,1,1,0,1,0,0
10,30,1,1,1,1,0,1,0
30,250,1,1,0,1,0,1,0
8,15,1,1,0,1,1,1,0
10,30,1,1,1,0,1,1,0
2,8,1,1,0,1,0,1,0
30,250,1,1,0,1,1,1,0
10,30,1,0,1,1,1,1,0
10,30,0,1,1,1,0,1,0
2,8,1,1,1,1,0,1,0
18.01,150.1,1,1,1,1,1,1,0
25,24,1,1,0,1,0,1,0
10.51,21.02,0,1,1,1,0,1,0
7.3,8.5,1,1,1,1,1,1,0
8.2,15,1,1,0,1,1,1,0
